No;CoupleID;Yearsmar;Partnum;Gender_A;SelfPos_A;OtherPos_A;Satisfaction_A;Tension_A;SimHob_A;Gender_P;SelfPos_P;OtherPos_P;Satisfaction_P;Tension_P;SimHob_P;Gender;COtherPos_A;COtherPos_P;CTension_A;CTension_P
18;46;-6.214;2;Husband;4.4;4.6;3.833333333;2;0;FEMALE;4.8;4.6;4;1.5;0;Husband                 ;0.3365;0.3365;-0.4307;-0.9307
19;51;-2.630666667;1;Wife;3.8;4.6;3.833333333;2.5;0;MALE;3.8;3.8;3.833333333;1.5;0;Wife                    ;0.3365;-0.4635;0.0693;-0.9307
20;51;-2.630666667;2;Husband;3.8;3.8;3.833333333;1.5;0;FEMALE;3.8;4.6;3.833333333;2.5;0;Husband                 ;-0.4635;0.3365;-0.9307;0.0693
21;52;13.11933333;1;Wife;3.4;3.8;3.833333333;2;1;MALE;2.6;4;3.5;1.5;1;Wife                    ;-0.4635;-0.2635;-0.4307;-0.9307
22;52;13.11933333;2;Husband;2.6;4;3.5;1.5;1;FEMALE;3.4;3.8;3.833333333;2;1;Husband                 ;-0.2635;-0.4635;-0.9307;-0.4307
23;59;3.286;1;Wife;4.2;4.4;4;2.5;0;MALE;4.2;4.6;4;2;0;Wife                    ;0.1365;0.3365;0.0693;-0.4307
24;59;3.286;2;Husband;4.2;4.6;4;2;0;FEMALE;4.2;4.4;4;2.5;0;Husband                 ;0.3365;0.1365;-0.4307;0.0693
25;61;-10.214;1;Wife;4.2;4.8;3.833333333;2;1;MALE;4;3.8;3.333333333;2;0;Wife                    ;0.5365;-0.4635;-0.4307;-0.4307
26;61;-10.214;2;Husband;4;3.8;3.333333333;2;0;FEMALE;4.2;4.8;3.833333333;2;1;Husband                 ;-0.4635;0.5365;-0.4307;-0.4307
27;62;-10.214;1;Wife;4.4;5;3.833333333;2.5;0;MALE;3.8;4.2;3.666666667;2.5;0;Wife                    ;0.7365;-0.0635;0.0693;0.0693
28;62;-10.214;2;Husband;3.8;4.2;3.666666667;2.5;0;FEMALE;4.4;5;3.833333333;2.5;0;Husband                 ;-0.0635;0.7365;0.0693;0.0693
29;66;-9.630666667;1;Wife;4;4.4;4;1.5;1;MALE;4.2;4.4;3.833333333;3;0;Wife                    ;0.1365;0.1365;-0.9307;0.5693
30;66;-9.630666667;2;Husband;4.2;4.4;3.833333333;3;0;FEMALE;4;4.4;4;1.5;1;Husband                 ;0.1365;0.1365;0.5693;-0.9307
31;67;-8.130666667;1;Wife;4.8;4;3.833333333;2;-1;MALE;4;4.8;4;1.5;1;Wife                    ;-0.2635;0.5365;-0.4307;-0.9307
32;67;-8.130666667;2;Husband;4;4.8;4;1.5;1;FEMALE;4.8;4;3.833333333;2;-1;Husband                 ;0.5365;-0.2635;-0.9307;-0.4307
33;70;11.36933333;1;Wife;3.6;4.4;3.833333333;1.5;0;MALE;5;4.8;3.833333333;1.5;-1;Wife                    ;0.1365;0.5365;-0.9307;-0.9307
34;70;11.36933333;2;Husband;5;4.8;3.833333333;1.5;-1;FEMALE;3.6;4.4;3.833333333;1.5;0;Husband                 ;0.5365;0.1365;-0.9307;-0.9307
35;79;6.452666667;1;Wife;4;4.6;3.666666667;2;0;MALE;3.6;4.2;4;2;1;Wife                    ;0.3365;-0.0635;-0.4307;-0.4307
36;79;6.452666667;2;Husband;3.6;4.2;4;2;1;FEMALE;4;4.6;3.666666667;2;0;Husband                 ;-0.0635;0.3365;-0.4307;-0.4307
37;91;8.452666667;1;Wife;4.4;5;3.666666667;2;1;MALE;4;4.8;3.833333333;2;0;Wife                    ;0.7365;0.5365;-0.4307;-0.4307
38;91;8.452666667;2;Husband;4;4.8;3.833333333;2;0;FEMALE;4.4;5;3.666666667;2;1;Husband                 ;0.5365;0.7365;-0.4307;-0.4307
39;98;-9.214;1;Wife;5;4.2;4;2;1;MALE;4.6;5;4;2.5;1;Wife                    ;-0.0635;0.7365;-0.4307;0.0693
40;98;-9.214;2;Husband;4.6;5;4;2.5;1;FEMALE;5;4.2;4;2;1;Husband                 ;0.7365;-0.0635;0.0693;-0.4307
41;102;4.286;1;Wife;4.8;5;3.833333333;2;0;MALE;4;4.8;4;1;0;Wife                    ;0.7365;0.5365;-0.4307;-1.4307
42;102;4.286;2;Husband;4;4.8;4;1;0;FEMALE;4.8;5;3.833333333;2;0;Husband                 ;0.5365;0.7365;-1.4307;-0.4307
43;105;-8.214;1;Wife;4.2;4;3.166666667;3.5;1;MALE;4.6;4.2;3.5;3;1;Wife                    ;-0.2635;-0.0635;1.0693;0.5693
44;105;-8.214;2;Husband;4.6;4.2;3.5;3;1;FEMALE;4.2;4;3.166666667;3.5;1;Husband                 ;-0.0635;-0.2635;0.5693;1.0693
45;108;-8.630666667;1;Wife;3.8;4.4;4;2.5;1;MALE;3.4;4.8;3.833333333;1.5;1;Wife                    ;0.1365;0.5365;0.0693;-0.9307
46;108;-8.630666667;2;Husband;3.4;4.8;3.833333333;1.5;1;FEMALE;3.8;4.4;4;2.5;1;Husband                 ;0.5365;0.1365;-0.9307;0.0693
47;110;-9.630666667;1;Wife;4.4;4.2;3.833333333;2;0;MALE;3.6;3.8;4;2;0;Wife                    ;-0.0635;-0.4635;-0.4307;-0.4307
48;110;-9.630666667;2;Husband;3.6;3.8;4;2;0;FEMALE;4.4;4.2;3.833333333;2;0;Husband                 ;-0.4635;-0.0635;-0.4307;-0.4307
49;114;12.61933333;1;Wife;5;3.4;3.666666667;2.5;0;MALE;4.2;4.2;3.5;2.5;-1;Wife                    ;-0.8635;-0.0635;0.0693;0.0693
50;114;12.61933333;2;Husband;4.2;4.2;3.5;2.5;-1;FEMALE;5;3.4;3.666666667;2.5;0;Husband                 ;-0.0635;-0.8635;0.0693;0.0693
51;116;4.786;1;Wife;3.6;4.2;2.333333333;4;0;MALE;4;3.4;2.666666667;3;-1;Wife                    ;-0.0635;-0.8635;1.5693;0.5693
52;116;4.786;2;Husband;4;3.4;2.666666667;3;-1;FEMALE;3.6;4.2;2.333333333;4;0;Husband                 ;-0.8635;-0.0635;0.5693;1.5693
53;123;4.536;1;Wife;3.8;4.4;4;2.5;0;MALE;4.2;3.8;4;1;0;Wife                    ;0.1365;-0.4635;0.0693;-1.4307
54;123;4.536;2;Husband;4.2;3.8;4;1;0;FEMALE;3.8;4.4;4;2.5;0;Husband                 ;-0.4635;0.1365;-1.4307;0.0693
55;125;-11.13066667;1;Wife;4.2;4.4;4;1.5;0;MALE;4.4;5;4;2;-1;Wife                    ;0.1365;0.7365;-0.9307;-0.4307
56;125;-11.13066667;2;Husband;4.4;5;4;2;-1;FEMALE;4.2;4.4;4;1.5;0;Husband                 ;0.7365;0.1365;-0.4307;-0.9307
57;127;3.619333333;1;Wife;5;4.6;3.833333333;2;0;MALE;4.2;4.2;4;1;-1;Wife                    ;0.3365;-0.0635;-0.4307;-1.4307
58;127;3.619333333;2;Husband;4.2;4.2;4;1;-1;FEMALE;5;4.6;3.833333333;2;0;Husband                 ;-0.0635;0.3365;-1.4307;-0.4307
59;133;6.619333333;1;Wife;4.8;4.4;3.5;3;0;MALE;3.8;4.4;3.333333333;3;0;Wife                    ;0.1365;0.1365;0.5693;0.5693
60;133;6.619333333;2;Husband;3.8;4.4;3.333333333;3;0;FEMALE;4.8;4.4;3.5;3;0;Husband                 ;0.1365;0.1365;0.5693;0.5693
61;135;7.786;1;Wife;5;5;4;1.5;0;MALE;4.2;4.4;3.5;2.5;0;Wife                    ;0.7365;0.1365;-0.9307;0.0693
62;135;7.786;2;Husband;4.2;4.4;3.5;2.5;0;FEMALE;5;5;4;1.5;0;Husband                 ;0.1365;0.7365;0.0693;-0.9307
63;136;4.952666667;1;Wife;4.2;4;4;3;0;MALE;3.8;4.4;3.666666667;2.5;1;Wife                    ;-0.2635;0.1365;0.5693;0.0693
64;136;4.952666667;2;Husband;3.8;4.4;3.666666667;2.5;1;FEMALE;4.2;4;4;3;0;Husband                 ;0.1365;-0.2635;0.0693;0.5693
65;137;12.786;1;Wife;4.8;5;3.833333333;2;1;MALE;4.8;5;3.833333333;2.5;1;Wife                    ;0.7365;0.7365;-0.4307;0.0693
66;137;12.786;2;Husband;4.8;5;3.833333333;2.5;1;FEMALE;4.8;5;3.833333333;2;1;Husband                 ;0.7365;0.7365;0.0693;-0.4307
67;139;12.536;1;Wife;4;4.8;3.666666667;2.5;0;MALE;4.8;4.6;4;1.5;1;Wife                    ;0.5365;0.3365;0.0693;-0.9307
68;139;12.536;2;Husband;4.8;4.6;4;1.5;1;FEMALE;4;4.8;3.666666667;2.5;0;Husband                 ;0.3365;0.5365;-0.9307;0.0693
69;144;-10.29733333;1;Wife;4;4;4;3.5;1;MALE;3.6;4.6;3.5;1.5;-1;Wife                    ;-0.2635;0.3365;1.0693;-0.9307
70;144;-10.29733333;2;Husband;3.6;4.6;3.5;1.5;-1;FEMALE;4;4;4;3.5;1;Husband                 ;0.3365;-0.2635;-0.9307;1.0693
71;145;-10.714;1;Wife;4.2;4.4;4;1;1;MALE;3.8;4.2;3.666666667;1.5;0;Wife                    ;0.1365;-0.0635;-1.4307;-0.9307
72;145;-10.714;2;Husband;3.8;4.2;3.666666667;1.5;0;FEMALE;4.2;4.4;4;1;1;Husband                 ;-0.0635;0.1365;-0.9307;-1.4307
73;160;8.702666667;1;Wife;3.2;3.8;3.333333333;4;0;MALE;4.4;3.6;2.833333333;3.5;-1;Wife                    ;-0.4635;-0.6635;1.5693;1.0693
74;160;8.702666667;2;Husband;4.4;3.6;2.833333333;3.5;-1;FEMALE;3.2;3.8;3.333333333;4;0;Husband                 ;-0.6635;-0.4635;1.0693;1.5693
75;167;-5.880666667;1;Wife;4.6;4;4;2;1;MALE;3.6;4.6;4;3;0;Wife                    ;-0.2635;0.3365;-0.4307;0.5693
76;167;-5.880666667;2;Husband;3.6;4.6;4;3;0;FEMALE;4.6;4;4;2;1;Husband                 ;0.3365;-0.2635;0.5693;-0.4307
77;168;14.70266667;1;Wife;4.6;4.2;4;1.5;0;MALE;4.2;5;4;2.5;-1;Wife                    ;-0.0635;0.7365;-0.9307;0.0693
78;168;14.70266667;2;Husband;4.2;5;4;2.5;-1;FEMALE;4.6;4.2;4;1.5;0;Husband                 ;0.7365;-0.0635;0.0693;-0.9307
79;177;11.61933333;1;Wife;5;5;4;1;1;MALE;3.6;4.2;3;3;-1;Wife                    ;0.7365;-0.0635;-1.4307;0.5693
80;177;11.61933333;2;Husband;3.6;4.2;3;3;-1;FEMALE;5;5;4;1;1;Husband                 ;-0.0635;0.7365;0.5693;-1.4307
81;178;-7.047333333;1;Wife;3.6;3.6;2.666666667;3;0;MALE;4;4;2.833333333;3.5;0;Wife                    ;-0.6635;-0.2635;0.5693;1.0693
82;178;-7.047333333;2;Husband;4;4;2.833333333;3.5;0;FEMALE;3.6;3.6;2.666666667;3;0;Husband                 ;-0.2635;-0.6635;1.0693;0.5693
83;189;14.61933333;1;Wife;4.6;5;4;2.5;1;MALE;4.8;4.6;4;2.5;1;Wife                    ;0.7365;0.3365;0.0693;0.0693
84;189;14.61933333;2;Husband;4.8;4.6;4;2.5;1;FEMALE;4.6;5;4;2.5;1;Husband                 ;0.3365;0.7365;0.0693;0.0693
85;197;-9.464;1;Wife;4;4.2;3.5;2.5;0;MALE;3.8;3.8;3.5;2.5;-1;Wife                    ;-0.0635;-0.4635;0.0693;0.0693
86;197;-9.464;2;Husband;3.8;3.8;3.5;2.5;-1;FEMALE;4;4.2;3.5;2.5;0;Husband                 ;-0.4635;-0.0635;0.0693;0.0693
87;206;-8.630666667;1;Wife;4.2;4;3.833333333;2;1;MALE;3.8;3.6;4;2;1;Wife                    ;-0.2635;-0.6635;-0.4307;-0.4307
88;206;-8.630666667;2;Husband;3.8;3.6;4;2;1;FEMALE;4.2;4;3.833333333;2;1;Husband                 ;-0.6635;-0.2635;-0.4307;-0.4307
89;210;7.369333333;1;Wife;4.2;4.2;3.833333333;2.5;0;MALE;3.8;4.6;3.166666667;2.5;-1;Wife                    ;-0.0635;0.3365;0.0693;0.0693
90;210;7.369333333;2;Husband;3.8;4.6;3.166666667;2.5;-1;FEMALE;4.2;4.2;3.833333333;2.5;0;Husband                 ;0.3365;-0.0635;0.0693;0.0693
91;216;-5.297333333;1;Wife;4.6;3.8;3.333333333;2.5;0;MALE;4;3.2;3;2.5;0;Wife                    ;-0.4635;-1.0635;0.0693;0.0693
92;216;-5.297333333;2;Husband;4;3.2;3;2.5;0;FEMALE;4.6;3.8;3.333333333;2.5;0;Husband                 ;-1.0635;-0.4635;0.0693;0.0693
93;217;-7.464;1;Wife;3.8;3.8;3.666666667;3;0;MALE;3.2;4;3.5;3;0;Wife                    ;-0.4635;-0.2635;0.5693;0.5693
94;217;-7.464;2;Husband;3.2;4;3.5;3;0;FEMALE;3.8;3.8;3.666666667;3;0;Husband                 ;-0.2635;-0.4635;0.5693;0.5693
95;218;-9.214;1;Wife;4.6;3.8;4;2.5;0;MALE;3.6;4.6;3.833333333;2;0;Wife                    ;-0.4635;0.3365;0.0693;-0.4307
96;218;-9.214;2;Husband;3.6;4.6;3.833333333;2;0;FEMALE;4.6;3.8;4;2.5;0;Husband                 ;0.3365;-0.4635;-0.4307;0.0693
97;222;-11.214;1;Wife;3.8;4.6;4;2;0;MALE;3.6;3.8;4;2.5;0;Wife                    ;0.3365;-0.4635;-0.4307;0.0693
98;222;-11.214;2;Husband;3.6;3.8;4;2.5;0;FEMALE;3.8;4.6;4;2;0;Husband                 ;-0.4635;0.3365;0.0693;-0.4307
99;224;7.452666667;1;Wife;5;5;4;1.5;0;MALE;4.2;4.8;4;1;-1;Wife                    ;0.7365;0.5365;-0.9307;-1.4307
100;224;7.452666667;2;Husband;4.2;4.8;4;1;-1;FEMALE;5;5;4;1.5;0;Husband                 ;0.5365;0.7365;-1.4307;-0.9307
101;226;6.869333333;1;Wife;4.2;3.8;3.333333333;3;1;MALE;4.2;4.2;3.666666667;3;0;Wife                    ;-0.4635;-0.0635;0.5693;0.5693
102;226;6.869333333;2;Husband;4.2;4.2;3.666666667;3;0;FEMALE;4.2;3.8;3.333333333;3;1;Husband                 ;-0.0635;-0.4635;0.5693;0.5693
103;227;-10.04733333;1;Wife;4.4;3.8;3.666666667;2;0;MALE;4.2;4.4;3.666666667;2.5;0;Wife                    ;-0.4635;0.1365;-0.4307;0.0693
104;227;-10.04733333;2;Husband;4.2;4.4;3.666666667;2.5;0;FEMALE;4.4;3.8;3.666666667;2;0;Husband                 ;0.1365;-0.4635;0.0693;-0.4307
105;237;10.95266667;1;Wife;5;5;4;1.5;0;MALE;4.2;5;4;2;0;Wife                    ;0.7365;0.7365;-0.9307;-0.4307
106;237;10.95266667;2;Husband;4.2;5;4;2;0;FEMALE;5;5;4;1.5;0;Husband                 ;0.7365;0.7365;-0.4307;-0.9307
107;239;10.786;1;Wife;4.8;5;3.833333333;2;0;MALE;4.6;4.8;3.833333333;1.5;0;Wife                    ;0.7365;0.5365;-0.4307;-0.9307
108;239;10.786;2;Husband;4.6;4.8;3.833333333;1.5;0;FEMALE;4.8;5;3.833333333;2;0;Husband                 ;0.5365;0.7365;-0.9307;-0.4307
109;240;-6.297333333;1;Wife;3.6;3.2;3.333333333;2.5;0;MALE;3.8;4;3;3.5;-1;Wife                    ;-1.0635;-0.2635;0.0693;1.0693
110;240;-6.297333333;2;Husband;3.8;4;3;3.5;-1;FEMALE;3.6;3.2;3.333333333;2.5;0;Husband                 ;-0.2635;-1.0635;1.0693;0.0693
111;244;13.86933333;1;Wife;4.2;5;4;1.5;1;MALE;4.8;4.6;3.833333333;2;1;Wife                    ;0.7365;0.3365;-0.9307;-0.4307
112;244;13.86933333;2;Husband;4.8;4.6;3.833333333;2;1;FEMALE;4.2;5;4;1.5;1;Husband                 ;0.3365;0.7365;-0.4307;-0.9307
113;248;-7.214;1;Wife;4.6;4.2;3.5;1.5;0;MALE;4;4.2;3.5;2;-1;Wife                    ;-0.0635;-0.0635;-0.9307;-0.4307
114;248;-7.214;2;Husband;4;4.2;3.5;2;-1;FEMALE;4.6;4.2;3.5;1.5;0;Husband                 ;-0.0635;-0.0635;-0.4307;-0.9307
115;249;13.036;1;Wife;5;5;4;1.5;1;MALE;4.2;4.8;4;1.5;0;Wife                    ;0.7365;0.5365;-0.9307;-0.9307
116;249;13.036;2;Husband;4.2;4.8;4;1.5;0;FEMALE;5;5;4;1.5;1;Husband                 ;0.5365;0.7365;-0.9307;-0.9307
117;253;11.36933333;1;Wife;4;4.2;2.666666667;3;0;MALE;3.8;3.8;4;2.5;-1;Wife                    ;-0.0635;-0.4635;0.5693;0.0693
118;253;11.36933333;2;Husband;3.8;3.8;4;2.5;-1;FEMALE;4;4.2;2.666666667;3;0;Husband                 ;-0.4635;-0.0635;0.0693;0.5693
119;255;-7.297333333;1;Wife;3.8;4.8;2.666666667;3;0;MALE;4.6;4.4;4;2.5;1;Wife                    ;0.5365;0.1365;0.5693;0.0693
120;255;-7.297333333;2;Husband;4.6;4.4;4;2.5;1;FEMALE;3.8;4.8;2.666666667;3;0;Husband                 ;0.1365;0.5365;0.0693;0.5693
121;256;-11.214;1;Wife;4.4;4.6;4;2;1;MALE;4.8;3;3.166666667;3.5;1;Wife                    ;0.3365;-1.2635;-0.4307;1.0693
122;256;-11.214;2;Husband;4.8;3;3.166666667;3.5;1;FEMALE;4.4;4.6;4;2;1;Husband                 ;-1.2635;0.3365;1.0693;-0.4307
123;260;3.869333333;1;Wife;4;4;2.833333333;3;-1;MALE;4.4;4.2;3.666666667;2;0;Wife                    ;-0.2635;-0.0635;0.5693;-0.4307
124;260;3.869333333;2;Husband;4.4;4.2;3.666666667;2;0;FEMALE;4;4;2.833333333;3;-1;Husband                 ;-0.0635;-0.2635;-0.4307;0.5693
125;262;-10.88066667;1;Wife;4.2;4.6;3.666666667;2;1;MALE;4.6;4.4;4;2;1;Wife                    ;0.3365;0.1365;-0.4307;-0.4307
126;262;-10.88066667;2;Husband;4.6;4.4;4;2;1;FEMALE;4.2;4.6;3.666666667;2;1;Husband                 ;0.1365;0.3365;-0.4307;-0.4307
127;270;10.786;1;Wife;4.6;4.4;3.666666667;2.5;0;MALE;4;4;3.666666667;2;0;Wife                    ;0.1365;-0.2635;0.0693;-0.4307
128;270;10.786;2;Husband;4;4;3.666666667;2;0;FEMALE;4.6;4.4;3.666666667;2.5;0;Husband                 ;-0.2635;0.1365;-0.4307;0.0693
129;271;4.869333333;1;Wife;4.2;4.4;3.833333333;3;0;MALE;4.2;4.6;3.833333333;1.5;1;Wife                    ;0.1365;0.3365;0.5693;-0.9307
130;271;4.869333333;2;Husband;4.2;4.6;3.833333333;1.5;1;FEMALE;4.2;4.4;3.833333333;3;0;Husband                 ;0.3365;0.1365;-0.9307;0.5693
131;279;11.786;1;Wife;3.8;3.8;2.833333333;2.5;-1;MALE;3.8;4.2;3.833333333;1.5;-1;Wife                    ;-0.4635;-0.0635;0.0693;-0.9307
132;279;11.786;2;Husband;3.8;4.2;3.833333333;1.5;-1;FEMALE;3.8;3.8;2.833333333;2.5;-1;Husband                 ;-0.0635;-0.4635;-0.9307;0.0693
133;280;-9.214;1;Wife;4.2;3.2;2.333333333;4;0;MALE;3.6;4;2.833333333;3;-1;Wife                    ;-1.0635;-0.2635;1.5693;0.5693
134;280;-9.214;2;Husband;3.6;4;2.833333333;3;-1;FEMALE;4.2;3.2;2.333333333;4;0;Husband                 ;-0.2635;-1.0635;0.5693;1.5693
135;283;9.202666667;1;Wife;3.8;3.6;4;3;0;MALE;3.6;4.4;3.333333333;1.5;0;Wife                    ;-0.6635;0.1365;0.5693;-0.9307
136;283;9.202666667;2;Husband;3.6;4.4;3.333333333;1.5;0;FEMALE;3.8;3.6;4;3;0;Husband                 ;0.1365;-0.6635;-0.9307;0.5693
137;294;-7.380666667;1;Wife;4.4;4.2;4;2.5;0;MALE;4.2;3.6;3.5;2;-1;Wife                    ;-0.0635;-0.6635;0.0693;-0.4307
138;294;-7.380666667;2;Husband;4.2;3.6;3.5;2;-1;FEMALE;4.4;4.2;4;2.5;0;Husband                 ;-0.6635;-0.0635;-0.4307;0.0693
139;299;5.702666667;1;Wife;4.2;4.2;4;2;1;MALE;4.2;5;4;2;0;Wife                    ;-0.0635;0.7365;-0.4307;-0.4307
140;299;5.702666667;2;Husband;4.2;5;4;2;0;FEMALE;4.2;4.2;4;2;1;Husband                 ;0.7365;-0.0635;-0.4307;-0.4307
141;301;9.702666667;1;Wife;3.6;3.8;1.833333333;4;-1;MALE;4;4;3;3;-1;Wife                    ;-0.4635;-0.2635;1.5693;0.5693
142;301;9.702666667;2;Husband;4;4;3;3;-1;FEMALE;3.6;3.8;1.833333333;4;-1;Husband                 ;-0.2635;-0.4635;0.5693;1.5693
143;303;-10.79733333;1;Wife;4;3.8;3;2.5;0;MALE;4;4.6;3.5;4;1;Wife                    ;-0.4635;0.3365;0.0693;1.5693
144;303;-10.79733333;2;Husband;4;4.6;3.5;4;1;FEMALE;4;3.8;3;2.5;0;Husband                 ;0.3365;-0.4635;1.5693;0.0693
145;306;5.536;1;Wife;4;5;4;2.5;1;MALE;4;5;4;2;0;Wife                    ;0.7365;0.7365;0.0693;-0.4307
146;306;5.536;2;Husband;4;5;4;2;0;FEMALE;4;5;4;2.5;1;Husband                 ;0.7365;0.7365;-0.4307;0.0693
147;312;-9.880666667;1;Wife;4.2;4.2;1.833333333;4;0;MALE;4.6;3.2;2.5;3.5;-1;Wife                    ;-0.0635;-1.0635;1.5693;1.0693
148;312;-9.880666667;2;Husband;4.6;3.2;2.5;3.5;-1;FEMALE;4.2;4.2;1.833333333;4;0;Husband                 ;-1.0635;-0.0635;1.0693;1.5693
149;315;10.70266667;1;Wife;4;4.6;4;2;0;MALE;4.2;4.8;3.5;1.5;0;Wife                    ;0.3365;0.5365;-0.4307;-0.9307
150;315;10.70266667;2;Husband;4.2;4.8;3.5;1.5;0;FEMALE;4;4.6;4;2;0;Husband                 ;0.5365;0.3365;-0.9307;-0.4307
151;317;2.702666667;1;Wife;3.8;3.4;3.166666667;3;1;MALE;4;4.2;3;3.5;0;Wife                    ;-0.8635;-0.0635;0.5693;1.0693
152;317;2.702666667;2;Husband;4;4.2;3;3.5;0;FEMALE;3.8;3.4;3.166666667;3;1;Husband                 ;-0.0635;-0.8635;1.0693;0.5693
153;319;5.869333333;1;Wife;3.8;5;4;2;0;MALE;4.8;4.6;4;2;0;Wife                    ;0.7365;0.3365;-0.4307;-0.4307
154;319;5.869333333;2;Husband;4.8;4.6;4;2;0;FEMALE;3.8;5;4;2;0;Husband                 ;0.3365;0.7365;-0.4307;-0.4307
155;322;-9.964;1;Wife;4.8;4.4;4;2.5;-1;MALE;3.6;3.6;3.666666667;3;0;Wife                    ;0.1365;-0.6635;0.0693;0.5693
156;322;-9.964;2;Husband;3.6;3.6;3.666666667;3;0;FEMALE;4.8;4.4;4;2.5;-1;Husband                 ;-0.6635;0.1365;0.5693;0.0693
157;323;-9.047333333;1;Wife;3.8;2.6;3.666666667;2.5;0;MALE;3.4;4.6;4;2;0;Wife                    ;-1.6635;0.3365;0.0693;-0.4307
158;323;-9.047333333;2;Husband;3.4;4.6;4;2;0;FEMALE;3.8;2.6;3.666666667;2.5;0;Husband                 ;0.3365;-1.6635;-0.4307;0.0693
159;324;-6.130666667;1;Wife;5;4.8;3.833333333;2;0;MALE;4.2;4.2;4;2;1;Wife                    ;0.5365;-0.0635;-0.4307;-0.4307
160;324;-6.130666667;2;Husband;4.2;4.2;4;2;1;FEMALE;5;4.8;3.833333333;2;0;Husband                 ;-0.0635;0.5365;-0.4307;-0.4307
161;325;-6.714;1;Wife;4.6;4.6;4;2;0;MALE;4;4.6;3.833333333;2;0;Wife                    ;0.3365;0.3365;-0.4307;-0.4307
162;325;-6.714;2;Husband;4;4.6;3.833333333;2;0;FEMALE;4.6;4.6;4;2;0;Husband                 ;0.3365;0.3365;-0.4307;-0.4307
163;326;13.786;1;Wife;4.8;4.2;3.166666667;3.5;0;MALE;4.6;4;3.166666667;3;0;Wife                    ;-0.0635;-0.2635;1.0693;0.5693
164;326;13.786;2;Husband;4.6;4;3.166666667;3;0;FEMALE;4.8;4.2;3.166666667;3.5;0;Husband                 ;-0.2635;-0.0635;0.5693;1.0693
165;327;-8.714;1;Wife;4.8;4.8;4;2.5;1;MALE;4;4;4;3;1;Wife                    ;0.5365;-0.2635;0.0693;0.5693
166;327;-8.714;2;Husband;4;4;4;3;1;FEMALE;4.8;4.8;4;2.5;1;Husband                 ;-0.2635;0.5365;0.5693;0.0693
